MASCARA;IES
900;1663
901;905
902;2431
903;87
904;2723
905;3170
906;1118
907;1672
908;2091
909;2942
910;1540
911;1401
912;3232
913;1494
914;1079
915;1781
916;2580
917;1286
918;802
919;355
920;704
921;2343
922;1375
923;1735
924;3612
925;1263
926;702
927;2532
928;910
929;1689
930;1958
931;514
932;1927
933;4118
934;18874
935;336
936;5242
937;1546
938;999
939;2814
940;4358
941;316
942;93
943;1638
944;873
945;2724
946;
947;1545
948;32
949;737
950;945
951;4200
952;703
953;3501
954;1732
955;2324
956;1228
957;548
958;940
959;1230
960;1984
961;742
962;482
963;3187
964;2796
965;3228
966;2647
967;319
968;137
969;1038
970;1908
971;206
972;1693
973;1126
974;1846
975;5451
976;3951
977;5277
978;2041
979;1412
980;3757
981;1373
982;493
983;1606
984;713
985;585
986;1823
987;5314
988;5550
989;2194
990;1661
991;
992;577
993;608
994;546
995;5403
996;2140
997;1944
998;4785
999;225
1000;3980
1001;1317
1002;1788
1003;1067
1004;1878
1005;1893
1006;849
1007;2846
1008;1046
1009;337
1010;1520
1011;1713
1012;1123
1013;
1014;1785
1015;847
1016;1071
1017;480
1018;575
1019;1913
1020;3154
1021;1064
1022;2530
1023;15015
1024;2745
1025;27
1026;1469
1027;3372
1028;824
1029;881
1030;426
1031;1554
1032;1973
1033;1279
1034;1129
1035;1557
1036;1198
1037;2397
1038;789
1039;1411
1040;759
1041;1904
1042;1797
1043;1311
1044;1244
1045;18759
1046;1388
1047;1299
1048;1041
1049;709
1050;3471
1051;5520
1052;1092
1053;822
1054;1225
1055;2380
1056;522
1057;2126
1058;3602
1059;641
1060;1969
1061;5387
1062;4094
1063;3770
1064;3588
1065;456
1066;2845
1067;
1068;1832
1069;2378
1070;1082
1071;2289
1072;2973
1073;3180
1074;2485
1075;4096
1076;715
1077;2708
1078;1237
1079;5318
1080;2282
1081;4502
1082;1660
1083;4362
1084;1676
1085;3001
1086;1085
1087;3966
1088;2935
1089;3978
1090;2783
1091;1125
1092;730
1093;5439
1094;4791
1095;1226
1096;2202
1097;1384
1098;2233
1099;1700
1100;278
1101;5099
1102;4357
1103;3502
1104;1580
1105;1068
1106;1402
1107;2010
1108;4021
1109;1142
1110;11
1111;1656
1112;496
1113;3568
1114;2322
1115;410
1116;506
1117;1059
1118;1701
1119;1674
1120;2459
1121;463
1122;1058
1123;139
1124;276
1125;1541
1126;72
1127;1977
1128;3979
1129;909
1130;254
1131;1691
1132;10
1133;1701
1134;3782
1135;1784
1136;224
1137;1362
1138;913
1139;1499
1140;2200
1141;1854
1142;2836
1143;408
1144;462
1145;3476
1146;5668
1147;79
1148;270
1149;74
1150;3004
1151;1099
1152;3867
1153;5670
1154;434
1155;2722
1156;5077
1157;2246
1158;2804
1159;2148
1160;1538
1161;5439
1162;2076
1163;2275
1164;226
1165;1302
1166;1743
1167;1272
1168;240
1169;517
1170;2067
1171;4252
1172;1364
1173;1298
1174;
1175;5520
1176;1716
1177;1045
1178;2566
1179;4036
1180;15015
1181;706
1182;3507
1183;1032
1184;1232
1185;1736
1186;746
1187;1814
1188;1149
1189;279
1190;1971
1191;5322
1192;1328
1193;3188
1194;758
1195;
1196;1945
1197;2033
1198;2447
1199;2308
1200;3268
1201;3252
1202;581
1203;5669
1204;1394
1205;1610
1206;1358
1207;1406
1208;1417
1209;288
1210;2402
1211;2423
1212;3984
1213;1906
1214;18506
1215;3603
1216;4793
1217;1845
1218;1324
1219;3462
1220;
1221;3585
1222;1575
1223;1395
1224;1600
1225;1692
1226;
1227;707
1228;3470
1229;5668
1230;908
1231;396
1232;2288
1233;1119
1234;2341
1235;
1236;5316
1237;1931
1238;2413
1239;764
1240;2015
1241;752
1242;4169
1243;216
1244;878
1245;2205
1246;3148
1247;2632
1248;2756
1249;457
1250;1651
1251;1330
1252;1828
1253;1903
1254;1824
1255;352
1256;2186
1257;15015
1258;1669
1259;
1260;3974
1261;3981
1262;3367
1263;5473
1264;534
1265;1952
1266;1332
1267;3368
1268;2257
1269;2371
1270;22015
1271;149
1272;3319
1273;672
1274;1345
1275;399
1276;363
1277;1158
1278;
1279;601
1280;1016
1281;5318
1282;1143
1283;586
1284;1923
1285;3339
1286;826
1287;1539
1288;159
1289;1438
1290;925
1291;59
1292;3169
1293;1488
1294;640
1295;1607
1296;673
1297;1307
1298;446
1299;1382
1300;431
1301;774
1302;4420
1303;1252
1304;4138
1305;2171
1306;2427
1307;1291
1308;694
1309;2915
1310;1477
1311;1028
1312;2903
1313;622
1314;
1315;1031
1316;838
1317;1344
1318;954
1319;1353
1320;1043
1321;54
1322;2045
1323;
1324;2879
1325;1987
1326;1634
1327;432
1328;2137
1329;2840
1330;1727
1331;1439
1332;218
1333;5388
1334;217
1335;1440
1336;4092
1337;1532
1338;2248
1339;1153
1340;677
1341;263
1342;3308
1343;25277
1344;990
1345;
1346;1451
1347;2192
1348;200
1349;264
1350;3443
1351;256
1352;3876
1353;3963
1354;1219
1355;1614
1356;2131
1357;4204
1358;1465
1359;1958
1360;135
1361;2079
1362;3285
1363;3946
1364;3309
1365;2173
1366;1508
1367;489
1368;501
1369;2044
1370;1014
1371;3173
1372;2794
1373;3533
1374;322
1375;1065
1376;3020
1377;373
1378;532
1379;2056
1380;5303
1381;625
1382;2909
1383;417
1384;373
1385;5439
1386;3482
1387;5665
1388;3644
1389;4254
1390;15015
1391;4033
1392;1655
1393;607
1394;1019
1395;2478
1396;458
1397;3986
1398;1879
1399;3797
1400;2142
1401;1319
1402;43
1403;1534
1404;5593
1405;23
1406;4446
1407;1310
1408;1950
1409;2220
1410;788
1411;197
1412;1562
1413;840
1414;649
1415;14236
1416;3375
1417;1792
1418;2019
1419;670
1420;1843
1421;1413
1422;1890
1423;3465
